pollster	date	AP	H	FrP	SV	SP	KrF	V	MDG	R	Other
InFact/VG	23.08.2013	29,1 (51)	30,1 (54)	13,2 (24)	4,4 (8)	5,2 (9)	6,1 (11)	5,5 (9)	3,7 (2)	1,4 (1)	1,4 (0)
Sentio/DN	23.08.2013	28,5 (52)	28,1 (49)	16,0 (28)	5,4 (10)	5,5 (10)	4,7 (8)	5,4 (10)	3,6 (2)	1,4 (0)	1,4 (0)
Respons/Aftenp / BT / Adressa	23.08.2013	29,4 (53)	28,5 (51)	13,9 (26)	4,6 (7)	4,8 (7)	5,6 (8)	5,9 (9)	5,2 (8)	1,3 (0)	0,8 (0)
InFact/VG	22.08.2013	28,1 (50)	29,6 (54)	13,3 (25)	4,7 (7)	4,7 (7)	5,9 (9)	5,9 (9)	4,7 (7)	1,5 (1)	1,4 (0)
Verian/TV2	21.08.2013	31,8 (59)	26,8 (47)	15,9 (29)	4,0 (7)	4,7 (8)	5,6 (10)	4,4 (7)	2,9 (1)	1,6 (1)	2,3 (0)
InFact/VG	21.08.2013	28,2 (51)	28,9 (51)	14,0 (25)	4,8 (8)	5,3 (8)	5,4 (9)	5,6 (9)	4,7 (7)	1,5 (1)	1,6 (0)
InFact/VG	20.08.2013	27,1 (50)	30,5 (53)	13,3 (23)	4,5 (7)	5,4 (9)	5,7 (10)	5,5 (9)	4,1 (7)	1,7 (1)	2,2 (0)
Verian/TV2	19.08.2013	30,2 (53)	29,4 (53)	15,1 (27)	4,3 (8)	5,5 (9)	4,9 (9)	4,4 (8)	2,3 (1)	2,1 (1)	1,6 (0)
Respons/Aftenp. / BT	17.08.2013	27,3 (48)	32,2 (59)	12,6 (22)	3,1 (1)	5,7 (10)	5,8 (10)	5,5 (10)	5,1 (9)	1,4 (0)	1,3 (0)
Ipsos/Dagbladet	17.08.2013	32,5 (59)	27,5 (48)	14,8 (28)	4,3 (8)	4,8 (8)	5,1 (9)	4,8 (8)	2,9 (0)	1,2 (1)	2,0 (0)
Norstat/NRK	16.08.2013	28,9 (54)	31,1 (59)	17,8 (33)	2,5 (1)	3,7 (1)	5,6 (11)	4,1 (8)	3,6 (1)	1,6 (1)	0,9 (0)
Verian/TV2	12.08.2013	28,6 (51)	31,6 (55)	14,4 (26)	4,1 (7)	5,5 (10)	4,9 (9)	5,1 (9)	2,8 (1)	1,9 (1)	1,1 (0)
InFact/VG	12.08.2013	28,0 (51)	31,0 (55)	13,5 (24)	4,3 (8)	5,7 (10)	5,2 (9)	4,8 (9)	3,8 (2)	1,9 (1)	1,9 (0)
Norfakta/Nat. / KK	10.08.2013	26,9 (50)	31,2 (57)	17,7 (33)	3,7 (1)	4,5 (8)	5,4 (10)	4,4 (8)	2,7 (1)	2,0 (1)	1,5 (0)
Norstat/NRK	07.08.2013	26,3 (49)	29,7 (53)	20,9 (37)	4,8 (8)	5,7 (10)	5,6 (10)	3,4 (1)	0,9 (0)	2,0 (1)	0,5 (0)
InFact/VG	07.08.2013	27,5 (51)	31,9 (59)	14,2 (26)	3,3 (1)	5,3 (10)	5,5 (10)	5,6 (10)	2,9 (1)	2,0 (1)	1,7 (0)
Verian/TV2	05.08.2013	30,1 (57)	31,6 (60)	14,0 (26)	5,5 (10)	5,6 (11)	3,7 (2)	3,6 (2)	2,4 (1)	1,4 (0)	2,1 (0)
Norstat/VL	27.06.2013	28,1 (50)	33,2 (60)	18,0 (32)	4,0 (7)	4,1 (7)	5,1 (9)	3,7 (3)	1,8 (0)	1,3 (1)	0,9 (0)
Sentio/DN	22.06.2013	29,8 (52)	29,1 (51)	17,0 (32)	5,1 (9)	5,7 (10)	4,2 (7)	4,3 (7)	1,6 (0)	1,4 (1)	1,7 (0)
Ipsos/Dagbladet	22.06.2013	31,3 (58)	32,5 (58)	13,3 (24)	4,4 (8)	4,5 (8)	5,4 (10)	3,6 (3)	0,0 (0)	1,2 (0)	3,7 (0)
Respons/Aftenp / BT / Adressa	15.06.2013	26,4 (49)	36,2 (65)	13,2 (23)	4,2 (7)	4,1 (6)	7,2 (11)	5,0 (8)	1,9 (0)	1,0 (0)	0,8 (0)
Opinion/ANB	13.06.2013	25,2 (47)	32,0 (56)	19,9 (34)	4,4 (7)	5,0 (9)	5,1 (9)	4,1 (7)	2,2 (0)	1,0 (0)	1,3 (0)
InFact/VG	09.06.2013	28,5 (51)	32,9 (58)	14,0 (26)	4,2 (7)	4,7 (8)	5,2 (9)	5,4 (10)	2,2 (0)	1,3 (0)	1,7 (0)
Norfakta/Nat. / KK	08.06.2013	29,2 (54)	30,2 (56)	18,6 (35)	4,2 (8)	3,7 (1)	6,1 (11)	3,8 (3)	1,0 (0)	2,0 (1)	0,0 (0)
Norstat/NRK	06.06.2013	27,5 (51)	31,4 (56)	17,7 (31)	4,8 (8)	4,5 (7)	5,4 (8)	4,7 (7)	1,3 (0)	1,4 (1)	1,3 (0)
Verian/TV2	03.06.2013	31,6 (63)	30,6 (61)	15,5 (31)	3,8 (1)	4,4 (9)	3,8 (2)	3,2 (1)	1,8 (0)	2,8 (1)	2,5 (0)
InFact/VG	08.07.2013	29,7 (55)	31,2 (57)	13,6 (25)	3,3 (1)	5,2 (10)	5,5 (10)	5,2 (10)	2,1 (0)	2,0 (1)	2,2 (0)
Respons/Aftenp / BT / Adressa	06.07.2013	26,6 (52)	32,5 (57)	14,6 (27)	4,3 (7)	4,2 (6)	5,7 (9)	6,5 (10)	3,6 (1)	1,5 (0)	0,5 (0)
Norfakta/Nat. / KK	06.07.2013	27,4 (49)	28,5 (48)	22,0 (41)	4,1 (7)	5,1 (8)	4,8 (8)	4,0 (7)	1,6 (0)	2,0 (1)	0,7 (0)
Verian/TV2	01.07.2013	28,4 (52)	34,1 (63)	14,5 (27)	3,9 (1)	4,0 (7)	4,6 (9)	5,1 (9)	2,0 (0)	1,9 (1)	1,5 (0)
