pollster	date	AP	H	FrP	SV	SP	KrF	V	MDG	R	Other
Norstat/VL	30.09.2013	32,5 (55)	26,5 (48)	15,8 (29)	3,5 (1)	5,2 (9)	6,6 (12)	4,3 (8)	3,9 (3)	1,0 (0)	0,7 (0)
Ipsos/Dagbladet	28.09.2013	30,0 (54)	27,9 (53)	14,5 (28)	3,8 (2)	5,1 (9)	6,5 (11)	5,6 (10)	3,6 (1)	2,2 (1)	1,1 (0)
Opinion/ANB	25.09.2013	31,6 (58)	26,3 (45)	16,9 (31)	4,6 (7)	4,9 (7)	5,0 (7)	5,1 (8)	4,0 (6)	1,1 (0)	0,5 (0)
Sentio/DN	20.09.2013	31,5 (57)	27,6 (48)	14,3 (27)	4,6 (8)	5,3 (9)	5,4 (9)	5,8 (10)	2,8 (1)	1,2 (0)	1,6 (0)
Respons/Aftenp. / BT	08.09.2013	28,3 (50)	28,2 (50)	14,1 (26)	4,8 (8)	5,9 (10)	5,3 (9)	6,7 (12)	3,9 (3)	1,6 (1)	1,2 (0)
Norfakta/Nat. / KK	07.09.2013	27,3 (49)	27,4 (47)	21,9 (41)	4,3 (7)	5,6 (10)	4,2 (7)	4,8 (8)	1,7 (0)	1,3 (0)	1,5 (0)
Ipsos/Dagbladet	07.09.2013	29,4 (53)	25,9 (45)	16,4 (30)	5,8 (10)	4,9 (8)	5,1 (8)	4,5 (7)	4,1 (7)	2,3 (1)	1,7 (0)
InFact/VG	07.09.2013	28,6 (51)	27,3 (49)	14,2 (26)	5,3 (10)	5,6 (10)	5,8 (10)	6,2 (11)	3,6 (1)	1,6 (1)	1,8 (0)
Verian/TV2	07.09.2013	30,4 (55)	24,5 (44)	16,5 (30)	5,3 (9)	5,0 (9)	6,1 (10)	6,2 (11)	3,0 (1)	1,4 (0)	1,6 (0)
Verian/TV2	06.09.2013	30,0 (54)	26,1 (46)	15,9 (29)	5,3 (9)	4,9 (8)	6,6 (11)	6,2 (11)	2,4 (1)	1,2 (0)	1,5 (0)
Norstat/NRK	06.09.2013	28,3 (52)	25,1 (44)	17,9 (32)	5,0 (9)	5,6 (10)	6,5 (11)	5,4 (9)	3,1 (1)	1,6 (1)	1,5 (0)
InFact/VG	06.09.2013	30,5 (55)	26,9 (48)	13,8 (26)	4,6 (8)	5,2 (9)	5,9 (10)	6,2 (11)	3,1 (1)	1,8 (1)	1,9 (0)
Respons/Aftenp / BT / Adressa	06.09.2013	28,2 (51)	31,3 (57)	13,9 (24)	5,9 (10)	4,9 (8)	6,3 (10)	4,6 (8)	3,2 (1)	1,2 (0)	0,5 (0)
Verian/TV2	05.09.2013	29,8 (54)	25,9 (45)	16,6 (30)	5,3 (9)	5,3 (9)	6,4 (11)	5,7 (10)	2,7 (1)	1,2 (0)	1,2 (0)
InFact/VG	05.09.2013	29,2 (51)	27,6 (49)	13,1 (25)	4,9 (9)	5,5 (10)	6,9 (12)	5,5 (10)	3,7 (2)	1,7 (1)	1,9 (0)
Sentio/DN	05.09.2013	30,4 (54)	29,3 (54)	14,5 (27)	4,6 (8)	4,4 (7)	5,0 (8)	6,1 (10)	3,0 (1)	1,3 (0)	1,3 (0)
Opinion/ANB	05.09.2013	29,2 (53)	27,1 (50)	18,7 (34)	3,6 (1)	4,3 (8)	6,0 (11)	5,0 (9)	3,5 (2)	1,4 (1)	1,1 (0)
Verian/TV2	04.09.2013	28,4 (50)	26,9 (48)	17,0 (30)	5,7 (10)	5,0 (9)	6,8 (12)	4,9 (9)	2,8 (1)	1,3 (0)	1,2 (0)
InFact/VG	04.09.2013	28,2 (51)	27,5 (49)	14,5 (26)	4,9 (9)	5,6 (10)	7,1 (13)	5,0 (9)	3,5 (1)	1,8 (1)	1,8 (0)
InFact/VG	03.09.2013	28,2 (50)	28,2 (50)	14,4 (26)	4,8 (9)	5,3 (9)	6,2 (11)	5,7 (10)	3,8 (3)	1,5 (1)	1,7 (0)
Verian/TV2	03.09.2013	29,6 (53)	26,7 (47)	17,1 (30)	5,6 (10)	4,5 (8)	6,8 (12)	4,4 (8)	2,8 (1)	1,4 (0)	1,2 (0)
Verian/TV2	02.09.2013	30,7 (57)	27,0 (47)	16,6 (31)	4,8 (8)	4,1 (6)	6,6 (11)	4,9 (8)	2,5 (1)	1,2 (0)	1,6 (0)
InFact/VG	02.09.2013	28,9 (51)	27,9 (49)	14,8 (26)	4,1 (7)	5,4 (10)	5,8 (10)	7,1 (13)	3,9 (3)	0,8 (0)	1,2 (0)
Verian/TV2	01.09.2013	32,2 (56)	25,5 (46)	16,6 (30)	4,8 (8)	4,9 (9)	5,7 (10)	5,3 (9)	2,5 (1)	1,0 (0)	1,6 (0)
InFact/VG	01.09.2013	30,0 (53)	25,6 (45)	16,5 (30)	4,5 (8)	5,5 (10)	5,7 (10)	6,6 (11)	2,9 (1)	1,3 (1)	1,5 (0)
InFact/VG	31.08.2013	28,0 (51)	27,2 (48)	15,6 (29)	4,8 (8)	5,4 (10)	5,2 (9)	6,5 (12)	3,3 (1)	1,9 (1)	2,1 (0)
Ipsos/Dagbladet	31.08.2013	28,5 (51)	28,7 (54)	15,1 (27)	5,4 (9)	4,3 (7)	5,9 (9)	6,3 (10)	2,9 (1)	1,7 (1)	1,2 (0)
Norstat/NRK	30.08.2013	27,9 (52)	25,7 (47)	20,6 (38)	3,8 (1)	5,0 (9)	5,6 (10)	5,7 (11)	3,1 (1)	1,3 (0)	1,4 (0)
InFact/VG	30.08.2013	27,5 (52)	28,9 (54)	14,6 (27)	3,9 (1)	5,3 (10)	5,5 (10)	7,1 (13)	3,6 (1)	1,6 (1)	2,0 (0)
Respons/Aftenp / BT / Adressa	30.08.2013	28,2 (50)	28,9 (51)	14,2 (26)	4,5 (7)	5,8 (9)	5,8 (10)	5,7 (9)	4,5 (7)	1,4 (0)	1,0 (0)
Verian/TV2	29.08.2013	33,6 (61)	25,3 (45)	15,9 (29)	4,1 (7)	5,2 (9)	5,5 (9)	5,0 (8)	2,3 (1)	1,4 (0)	1,7 (0)
InFact/VG	29.08.2013	28,9 (51)	27,9 (51)	14,9 (27)	4,2 (7)	5,5 (10)	5,9 (10)	6,1 (11)	3,4 (1)	1,5 (1)	1,6 (0)
Norstat/VL	29.08.2013	28,4 (50)	27,0 (49)	17,1 (31)	5,0 (8)	5,1 (8)	4,4 (7)	6,0 (9)	4,1 (6)	1,3 (1)	1,6 (0)
InFact/VG	28.08.2013	28,7 (51)	27,7 (49)	15,2 (26)	4,0 (7)	5,6 (9)	5,8 (9)	5,9 (10)	4,2 (7)	1,4 (1)	1,4 (0)
Verian/TV2	27.08.2013	32,8 (58)	27,0 (47)	14,5 (27)	4,1 (7)	5,7 (10)	5,6 (10)	4,6 (8)	2,3 (1)	1,6 (1)	1,9 (0)
InFact/VG	27.08.2013	28,6 (52)	29,0 (52)	14,6 (26)	3,5 (1)	4,9 (9)	5,1 (9)	7,3 (13)	4,1 (7)	1,2 (0)	1,7 (0)
InFact/VG	26.08.2013	29,0 (51)	29,2 (53)	13,7 (25)	4,0 (7)	5,0 (9)	5,0 (9)	6,9 (12)	3,9 (3)	1,2 (0)	2,0 (0)
Verian/TV2	25.08.2013	30,8 (55)	27,5 (49)	15,7 (28)	4,6 (8)	5,7 (10)	4,7 (9)	4,8 (9)	3,2 (1)	0,8 (0)	2,1 (0)
InFact/VG	25.08.2013	29,3 (51)	28,2 (49)	14,4 (26)	4,4 (8)	6,0 (11)	5,5 (10)	5,5 (10)	3,9 (3)	1,6 (1)	1,2 (0)
InFact/VG	24.08.2013	29,9 (52)	28,3 (51)	14,5 (26)	4,4 (8)	6,0 (11)	5,7 (10)	5,0 (9)	3,6 (1)	1,6 (1)	1,1 (0)
Ipsos/Dagbladet	24.08.2013	29,7 (55)	29,6 (53)	13,0 (23)	4,3 (8)	5,6 (10)	6,0 (11)	4,1 (7)	3,9 (0)	2,1 (2)	1,7 (0)
Norstat/NRK	23.08.2013	29,1 (53)	26,2 (46)	18,9 (33)	3,9 (1)	5,4 (10)	6,3 (11)	4,2 (7)	4,7 (8)	0,9 (0)	0,3 (0)
