pollster	date	AP	H	FrP	SV	SP	KrF	V	MDG	R	Other
Sentio/DN	22.08.2017	27,0 (48)	24,2 (42)	13,1 (23)	5,1 (9)	11,1 (19)	5,3 (9)	4,1 (7)	6,1 (11)	2,5 (1)	1,6 (0)
Verian/TV2	20.08.2017	28,4 (53)	23,8 (44)	12,7 (23)	6,4 (12)	10,5 (20)	5,3 (10)	3,5 (2)	3,4 (2)	3,8 (3)	2,2 (0)
InFact/VG	19.08.2017	30,5 (56)	21,9 (40)	12,1 (22)	5,6 (10)	10,9 (20)	5,2 (9)	4,1 (7)	3,9 (3)	3,7 (2)	2,4 (0)
Verian/TV2	15.08.2017	30,3 (56)	21,5 (40)	13,7 (26)	3,6 (1)	12,6 (24)	3,9 (3)	4,4 (8)	3,1 (2)	4,7 (9)	2,1 (0)
Norstat/NRK	15.08.2017	27,1 (50)	23,8 (43)	16,7 (30)	5,2 (9)	9,2 (16)	5,0 (9)	3,9 (3)	4,6 (8)	1,8 (1)	2,7 (0)
Respons/Aftenp / BT / Adressa	11.08.2017	28,1 (52)	24,8 (45)	13,6 (25)	6,4 (12)	10,1 (19)	5,1 (9)	3,6 (2)	3,7 (3)	2,7 (2)	1,9 (0)
Opinion/ANB	10.08.2017	30,0 (54)	24,9 (44)	12,3 (22)	4,1 (7)	10,8 (19)	6,0 (11)	3,2 (2)	4,3 (8)	2,9 (2)	1,5 (0)
Norfakta/Nat. / KK	05.08.2017	31,9 (59)	26,1 (48)	13,8 (25)	4,6 (8)	9,5 (17)	4,7 (9)	3,1 (1)	2,1 (1)	1,8 (1)	2,5 (0)
InFact/VG	04.08.2017	30,0 (55)	22,7 (42)	12,6 (23)	5,2 (10)	11,9 (22)	5,2 (10)	3,2 (2)	3,6 (3)	3,2 (2)	2,3 (0)
InFact/VG	09.07.2017	31,9 (58)	21,1 (38)	11,9 (22)	4,5 (8)	13,0 (23)	4,6 (9)	3,5 (2)	4,1 (7)	2,8 (2)	2,7 (0)
Norfakta/Nat. / KK	08.07.2017	32,2 (58)	22,9 (42)	14,7 (27)	4,6 (8)	9,7 (18)	5,2 (9)	3,3 (2)	3,9 (4)	1,8 (1)	1,7 (0)
Norstat/VL	29.06.2017	30,6 (56)	23,3 (42)	15,2 (28)	4,3 (8)	11,7 (21)	4,1 (7)	3,4 (2)	3,9 (4)	1,8 (1)	1,7 (0)
Ipsos/Dagbladet	23.06.2017	31,7 (59)	23,1 (43)	12,8 (24)	4,7 (9)	12,2 (22)	3,9 (2)	4,0 (7)	3,2 (1)	3,3 (2)	1,2 (0)
Sentio/DN	22.06.2017	30,3 (58)	24,2 (45)	11,6 (21)	4,3 (8)	11,3 (21)	4,8 (9)	3,6 (2)	3,9 (3)	3,3 (2)	2,8 (0)
