name	station	date	rain_mm
Oslo - Blindern	SN18700	07.07.1937	0
Oslo - Blindern	SN18700	08.07.1937	0
Oslo - Blindern	SN18700	09.07.1937	0
Oslo - Blindern	SN18700	10.07.1937	0
Oslo - Blindern	SN18700	11.07.1937	0,3
Oslo - Blindern	SN18700	12.07.1937	0
Oslo - Blindern	SN18700	13.07.1937	0
Oslo - Blindern	SN18700	14.07.1937	0
Oslo - Blindern	SN18700	15.07.1937	0
Oslo - Blindern	SN18700	16.07.1937	0
Oslo - Blindern	SN18700	17.07.1937	2,1
Oslo - Blindern	SN18700	18.07.1937	8,8
Oslo - Blindern	SN18700	19.07.1937	0
Oslo - Blindern	SN18700	20.07.1937	0
Oslo - Blindern	SN18700	21.07.1937	0
Oslo - Blindern	SN18700	22.07.1937	0
Oslo - Blindern	SN18700	23.07.1937	15
Oslo - Blindern	SN18700	24.07.1937	1,7
Oslo - Blindern	SN18700	25.07.1937	4
Oslo - Blindern	SN18700	26.07.1937	1,1
Oslo - Blindern	SN18700	27.07.1937	0
Oslo - Blindern	SN18700	28.07.1937	3,2
Oslo - Blindern	SN18700	29.07.1937	0,1
Oslo - Blindern	SN18700	30.07.1937	0
Oslo - Blindern	SN18700	31.07.1937	0
Oslo - Blindern	SN18700	01.08.1937	0
Oslo - Blindern	SN18700	02.08.1937	0
Oslo - Blindern	SN18700	03.08.1937	0
Oslo - Blindern	SN18700	04.08.1937	0
Oslo - Blindern	SN18700	05.08.1937	0
Oslo - Blindern	SN18700	06.08.1937	0
Oslo - Blindern	SN18700	07.08.1937	0
Oslo - Blindern	SN18700	08.08.1937	0,2
Oslo - Blindern	SN18700	09.08.1937	1,2
Oslo - Blindern	SN18700	10.08.1937	0
Oslo - Blindern	SN18700	11.08.1937	5,7
Oslo - Blindern	SN18700	12.08.1937	0
Oslo - Blindern	SN18700	13.08.1937	0
Oslo - Blindern	SN18700	14.08.1937	5,1
Oslo - Blindern	SN18700	15.08.1937	0
Oslo - Blindern	SN18700	16.08.1937	0,7
Oslo - Blindern	SN18700	17.08.1937	2,8
Oslo - Blindern	SN18700	18.08.1937	1,2
Oslo - Blindern	SN18700	19.08.1937	0
Oslo - Blindern	SN18700	20.08.1937	1,2
Oslo - Blindern	SN18700	21.08.1937	0,3
Oslo - Blindern	SN18700	22.08.1937	0,4
Oslo - Blindern	SN18700	23.08.1937	0
Oslo - Blindern	SN18700	24.08.1937	0
