polllster;date;AP;H;Frp;SV;Sp;Krf;V;MDG;R;Other
Norfakta/Nat. / KK;08.09.2017;26,3 (48);25,8 (44);13,8 (24);5,0 (9);10,5 (18);5,3 (9);4,2 (7);4,5 (8);3,1 (2);0,0 (0)
Verian/TV2;07.09.2017;28,1 (51);23,4 (42);15,2 (28);5,7 (10);10,1 (18);5,0 (9);4,1 (7);3,7 (3);3,0 (1);1,8 (0)
Ipsos/Dagbladet;07.09.2017;27,2 (51);23,2 (39);15,3 (28);6,2 (11);9,4 (16);4,2 (7);4,7 (8);4,4 (7);3,5 (2);2,1 (0)
Respons/Aftenp / BT / Adressa;07.09.2017;25,6 (48);24,7 (44);14,3 (26);7,3 (13);9,9 (17);5,5 (10);4,5 (8);2,7 (1);3,1 (2);2,4 (0)
Verian/TV2;06.09.2017;27,0 (49);24,8 (45);14,8 (27);5,7 (10);10,3 (18);4,5 (8);4,3 (8);3,7 (3);2,9 (1);2,0 (0)
Norstat/NRK;06.09.2017;25,8 (46);24,2 (44);17,0 (31);5,9 (11);9,6 (17);4,5 (8);3,5 (2);4,6 (8);3,2 (2);1,6 (0)
Verian/TV2;05.09.2017;27,5 (50);24,4 (45);14,7 (27);5,7 (10);9,6 (18);4,4 (8);4,7 (9);3,4 (1);3,6 (1);2,0 (0)
InFact/VG;05.09.2017;29,3 (55);23,4 (44);12,8 (24);5,5 (10);10,0 (19);5,1 (9);3,9 (3);3,9 (3);3,8 (2);2,3 (0)
Verian/TV2;04.09.2017;26,5 (48);24,5 (44);14,3 (26);5,1 (9);10,9 (20);4,4 (8);4,8 (9);3,8 (2);3,4 (2);2,2 (0)
Verian/TV2;03.09.2017;26,1 (49);26,1 (49);14,7 (27);4,8 (9);11,0 (20);3,8 (3);4,3 (8);3,5 (2);3,6 (2);2,2 (0)
Norstat/VL;29.09.2021;27,3 (51);20,8 (36);11,2 (20);8,7 (15);12,8 (22);3,5 (3);4,3 (7);4,4 (8);4,0 (7);3,2 (0)
Sentio/NA / Amedia;24.09.2021;28,2 (55);20,0 (35);11,2 (19);7,5 (13);12,0 (21);3,1 (1);4,1 (7);5,5 (9);5,4 (9);2,9 (0)
Verian/TV2;11.09.2021;24,6 (46);19,0 (33);12,3 (21);8,7 (15);12,7 (25);3,8 (3);4,5 (7);5,1 (8);5,7 (10);3,6 (1)
Norfakta/Nat. / KK;11.09.2021;24,0 (44);19,1 (34);11,8 (22);8,2 (15);14,8 (28);3,6 (3);3,8 (2);5,9 (11);5,4 (10);3,5 (0)
Opinion/DA / FF / ANB;10.09.2021;26,9 (49);18,9 (34);11,9 (20);7,7 (13);14,8 (27);3,3 (2);4,5 (8);4,8 (8);4,6 (8);2,5 (0)
Verian/TV2;10.09.2021;24,5 (46);19,4 (35);11,3 (17);9,1 (14);13,2 (26);4,2 (6);4,4 (7);4,9 (8);5,9 (9);3,3 (1)
Ipsos/Dagbladet;09.09.2021;22,9 (43);17,0 (30);11,8 (20);11,8 (20);12,2 (21);4,2 (7);6,1 (11);4,3 (7);6,0 (10);3,7 (0)
