Time,Anomaly (deg C),Lower confidence limit (2.5%),Upper confidence limit (97.5%)
1850-01,-0.44851005,-0.7835925,-0.11342754
1850-02,-0.5161171,-0.8375053,-0.19472893
1850-03,-0.679384,-1.0372189,-0.32154915
1850-04,-0.50416344,-0.89131993,-0.11700703
1850-05,-0.40912414,-0.8176924,-0.00055590214
1850-06,-0.4950043,-0.9197306,-0.07027803
1850-07,-0.25807837,-0.6522898,0.13613309
1850-08,-0.43092555,-0.8732367,0.011385592
1850-09,-0.4515077,-0.90466,0.0016446412
1850-10,-0.31469855,-0.7087553,0.07935822
1850-11,-0.000587348,-0.30324656,0.30207187
1850-12,-0.286217,-0.5657863,-0.006647713
1851-01,-0.35657808,-0.6849385,-0.028217655
1851-02,-0.4369947,-0.7342451,-0.13974431
1851-03,-0.2850089,-0.61200315,0.041985285
1851-04,-0.39535868,-0.76893514,-0.021782234
1851-05,-0.28364074,-0.7311218,0.16384035
1851-06,-0.3258755,-0.7719018,0.120150775
1851-07,-0.13972086,-0.5104759,0.23103419
1851-08,-0.19729999,-0.6214048,0.22680487
1851-09,-0.27075225,-0.7276931,0.18618856
1851-10,-0.074833244,-0.47200754,0.32234105
1851-11,0.045762915,-0.36069843,0.45222425
1851-12,-0.24910702,-0.6203279,0.12211388
1852-01,-0.39744994,-0.71885985,-0.07604
1852-02,-0.47058183,-0.8236703,-0.11749336
1852-03,-0.44324976,-0.77547103,-0.11102851
1852-04,-0.45183176,-0.8453277,-0.058335833
1852-05,-0.22614732,-0.6584171,0.20612244
1852-06,-0.14587438,-0.55896306,0.2672143
1852-07,0.021988573,-0.3485095,0.39248663
1852-08,-0.21551771,-0.63384736,0.20281191
1852-09,0.01667251,-0.41283745,0.44618246
1852-10,-0.27509987,-0.63802344,0.08782367
1852-11,-0.032544877,-0.35650653,0.29141676
1852-12,-0.05751676,-0.34327224,0.22823872
1853-01,-0.41749513,-0.7372156,-0.097774684
1853-02,-0.38725993,-0.64288056,-0.13163927
1853-03,-0.055617914,-0.34655705,0.23532122
1853-04,-0.31682092,-0.6332448,-0.00039697552
1853-05,-0.37257305,-0.76429754,0.019151459
