MMDD,   CLIMO,    2013,    2014,    2015,    2016,    2017,    2018,    2019,    2020,    2021,    2022,    2023,    2024,    2025
0212,  10.865,  10.335,   8.684,  14.854,   9.171,   8.621,   8.913,   6.757,  11.479,  11.260,  11.529,   7.253,  18.096,     NaN
0213,  10.779,   9.711,   8.679,  14.603,   8.723,   8.700,   8.625,   6.737,  10.943,  10.840,  11.345,   6.998,  17.905,     NaN
0214,  10.701,   9.616,   9.254,  13.102,   8.517,   8.611,   8.366,   6.406,  10.763,  10.424,  11.021,   6.744,  17.904,     NaN
0215,  10.630,   9.556,   9.288,  12.826,   8.386,   8.334,   7.956,   5.919,  11.325,  10.368,  10.605,   6.948,  18.272,     NaN
0216,  10.566,   9.822,   9.960,  13.161,   8.867,   8.013,   7.621,   5.648,  11.085,  10.408,  10.287,   7.012,  18.759,     NaN
0217,  10.509,   9.893,  10.454,  12.460,   8.671,   7.986,   7.354,   5.824,  11.123,  10.301,   9.972,   6.826,  19.123,     NaN
0218,  10.457,   9.088,  10.629,  12.593,   8.694,   8.306,   6.926,   6.131,  10.772,  10.172,   9.789,   6.446,  19.345,     NaN
0219,  10.409,   8.557,  11.063,  13.029,   9.547,   8.747,   7.060,   6.466,  10.270,  10.047,   9.976,   6.208,  19.690,     NaN
0220,  10.357,   8.859,  11.544,  12.721,   9.751,   8.840,   6.899,   6.664,   9.919,  10.162,  10.209,   5.643,  19.419,     NaN
0221,  10.304,   8.982,  11.504,  12.675,   9.430,   9.100,   6.853,   6.348,   9.716,   9.890,  10.343,   5.611,  19.192,     NaN
0222,  10.250,   9.337,     NaN,  12.972,   9.277,   9.339,   6.388,   6.202,   9.687,   9.611,  10.169,   5.642,  19.342,     NaN
0223,  10.195,   9.918,     NaN,  14.197,   9.936,   9.313,   5.887,     NaN,   9.967,   9.757,  10.127,   5.602,  19.064,     NaN
0224,  10.140,  10.436,     NaN,  15.051,   9.950,   8.988,   5.297,   6.129,  10.297,   9.661,  10.214,   5.377,  18.572,     NaN
0225,  10.087,  10.545,  10.546,  16.537,   9.965,   9.181,   5.070,   5.907,  10.540,   9.225,  10.329,   5.350,  17.953,     NaN
0226,  10.039,  10.636,   9.913,  17.070,  10.639,   9.717,   4.978,   5.798,  10.603,   8.666,  10.251,   5.343,  17.782,     NaN
0227,  10.002,  10.866,   9.905,  16.475,  11.875,   9.627,   5.142,   5.614,  11.053,   8.279,  10.024,   5.146,  18.252,     NaN
0228,   9.975,  10.896,   8.796,  15.277,  12.222,   9.571,   5.222,   5.395,  11.436,   8.144,  10.238,   5.085,  18.948,     NaN
0229,   9.957,     NaN,     NaN,     NaN,  11.962,     NaN,     NaN,     NaN,  11.676,     NaN,     NaN,     NaN,  19.199,     NaN
0301,   9.947,  11.565,   9.105,  13.990,  12.024,   9.685,   5.264,   5.224,  11.525,   7.946,  10.305,   5.197,  19.425,     NaN
0302,   9.945,  10.840,   8.702,  13.070,  11.849,   9.721,   5.318,   4.998,  11.455,   7.911,  10.486,   5.230,  19.139,     NaN
0303,   9.949,  11.167,   9.140,  12.993,  12.162,   9.512,   5.080,   4.885,  11.217,   7.683,  10.845,   5.336,  18.879,     NaN
0304,   9.958,  10.054,   8.835,  12.438,  12.322,   8.990,   5.267,   4.666,  11.017,   7.810,  11.014,   5.234,  18.910,     NaN
0305,   9.973,  11.389,   9.976,  12.456,  13.011,   8.554,   5.552,   4.665,  10.884,   8.072,  11.127,   5.113,  19.078,     NaN
0306,   9.995,  11.818,  10.745,  12.080,  12.808,   8.348,   6.050,   5.027,  10.500,   8.516,  10.824,   5.330,  19.460,     NaN
0307,  10.020,  10.363,  10.958,  11.693,  12.564,   8.132,   6.148,   5.309,  10.440,   9.038,  10.817,   5.377,  19.824,     NaN
0308,  10.052,  10.205,  10.534,  11.246,  12.636,   7.562,   5.805,   4.973,  10.637,   9.137,  10.922,   5.574,  19.906,     NaN
0309,  10.090,  10.381,  10.262,  10.788,  11.973,   7.506,   5.304,   5.102,  10.324,   8.997,  10.844,   5.559,  19.815,     NaN
0310,  10.134,   9.977,  10.735,  10.066,  10.819,   7.205,   5.311,   5.008,   9.881,   8.444,  10.628,   6.748,  20.343,     NaN
0311,  10.183,  10.105,  11.245,   8.878,  10.118,   6.756,   5.418,   5.076,   9.920,   7.971,  10.657,   7.063,  21.348,     NaN
0312,  10.235,  10.260,     NaN,   7.774,  10.139,   6.667,   5.317,   5.503,  10.495,   8.228,  10.879,   7.008,  22.243,     NaN
0313,  10.287,  10.815,     NaN,   7.598,   9.955,   6.919,   5.330,   5.362,  10.653,   7.998,  10.995,   7.436,  23.315,     NaN
0314,  10.342,   9.992,     NaN,   7.720,   9.758,   7.000,   5.115,   5.506,  10.744,   8.003,  11.130,   8.083,  23.584,     NaN
0315,  10.397,  10.191,     NaN,   7.977,   9.811,   7.971,   5.348,   5.364,  10.990,   8.258,  10.786,   8.728,  23.352,     NaN
0316,  10.446,  10.976,     NaN,   8.203,  10.665,   7.565,   5.512,   5.495,  11.380,   8.440,  10.553,   8.973,  23.106,     NaN
0317,  10.490,  10.114,  12.409,   7.392,  10.545,   7.541,   5.491,   5.541,  11.366,   8.176,  10.480,   8.844,  22.492,     NaN
