track_title	streams_overall	streams_daily
Freeway Flyer	739367	231
Done With Bonaparte - Live At Gibson Amphitheatre / June 28th 2006	733354	446
Terminal Of Tribute To	726282	551
The Fish And The Bird	717183	199
The Ceilidh & The Northern Lights	712874	227
Dream Of The Bison	674639	60
Onward	670612	180
Potato Picking	670209	219
.38 Special	652826	774
Brothers in Arms - Live in Berlin	623729	425
Stargazer	620031	302
Sons of Scotland	618334	573
In The Heartland	61796	293
Do America	600612	331
This Is Science	593419	377
Speedway At Nazareth - Live At Gibson Amphitheatre / June 28th 2006	579777	336
Home Boy	561589	384
Marcelinos Despair	552282	92
Wag The Dog	549252	165
Glory Of The Cave	547587	109
Pulling Down The Ride	535435	268
The Ceilidh: Louis Favourite / Billys Tune	525511	167
Florin Dance	522509	213
Wild Mountain Thyme	506515	274
Stretching Out	493809	213
Boom, Like That - Live in Denver	473625	156
An American Hero	469865	457
Boulder To Birmingham - Live At Gibson Amphitheatre / June 28th 2006	467949	285
Red Staggerwing - Live At Gibson Amphitheatre / June 28th 2006	462605	231
Farewell To The Bison	447787	43
All That Matters - Live At Gibson Amphitheatre / June 28th 2006	447411	208
Song For Sonny Liston - Live From Shangri-La Studios	439238	152
A Secret Place / Where Will You Go	42971	277
Waiting For Her	421184	146
The Swordfight	410458	149
The Cliffs Of Insanity	403561	136
Back To Tupelo - Live From Shangri-La Studios	400689	124
Finale - Last Exit To Brooklyn	391856	125
Just Instinct	38518	451
Occupation Blues	371244	204
All The Roadrunning - Live At Gibson Amphitheatre / June 28th 2006	366918	141
Precious Voice From Heaven	347144	199
Meeting Under The Trees	345134	166
Dont Suck Me In	343978	243
Father and Son	337561	106
Sons of Scotland (Quiet Theme)	327337	95
Back In The Day	326636	135
Boom, Like That - Live From Shangri-La Studios	325021	107
Victims	320713	89
In A Secret Place	313193	136
The Fireswamp And The Rodents Of Unusual Size	309978	107
Revenge	304958	104
Camerado - 2021 Remaster	291793	447
Were Going To War	289903	83
Time In The Sun	264866	122
Love And Guilt	264256	92
Fear And Hatred	258149	86
Donegans Gone - Live From Shangri-La Studios	251477	96
Sky And Water	244692	152
Drooling National	243357	57
Stand Up Guy - Live From Shangri-La Studios	235803	56
My Claim to Fame - 2021 Remaster	231801	165
What Have I Got to Do - 2021 Remaster	22755	203
Hard Cases	221787	58
Last Exit To Brooklyn	220078	60
Its Over	219778	79
Training	210267	65
Tall Order Baby - 2021 Remaster	199071	163
Four in a Row	197552	63
Gravy Train - 2021 Remaster	190168	156
Speedway At Nazareth - Live at Massey Hall, Toronto	187798	84
Hes the Man	173036	41
Say Too Much	173005	40
So Far Away - Live at Shepherds Bush Empire	172176	104
Summer Of Love - Remastered 2021	169772	152
All That I Have in the World	167813	37
The New Laird	161668	41
Good As Gold	150769	123
Small Potatoes - 2021 Remaster	148839	101
Lets See You - 2021 Remaster	127955	93
Tralala	124747	39
Your Perfect Song	121847	159
The Trawlermans Song - Live From Shangri-La Studios	119133	77
Shes Gone	110675	397
Follow The Ribbon	110082	102
Metroland Theme - Instrumental	104029	89
