name	station	month	rain_mm
Oslo - Blindern	SN18700	03.1951	30,8
Oslo - Blindern	SN18700	04.1951	50,5
Oslo - Blindern	SN18700	05.1951	8,5
Oslo - Blindern	SN18700	06.1951	76,3
Oslo - Blindern	SN18700	07.1951	69,5
Oslo - Blindern	SN18700	08.1951	302,6
Oslo - Blindern	SN18700	09.1951	72,5
Oslo - Blindern	SN18700	10.1951	33,3
Oslo - Blindern	SN18700	11.1951	118,8
Oslo - Blindern	SN18700	12.1951	47,6
Oslo - Blindern	SN18700	01.1952	32
Oslo - Blindern	SN18700	02.1952	15,3
Oslo - Blindern	SN18700	03.1952	34,9
Oslo - Blindern	SN18700	04.1952	49,5
Oslo - Blindern	SN18700	05.1952	73,4
Oslo - Blindern	SN18700	06.1952	73,2
Oslo - Blindern	SN18700	07.1952	86,8
Oslo - Blindern	SN18700	08.1952	81,8
Oslo - Blindern	SN18700	09.1952	104,2
Oslo - Blindern	SN18700	10.1952	75,1
Oslo - Blindern	SN18700	11.1952	32,9
Oslo - Blindern	SN18700	12.1952	58,5
Oslo - Blindern	SN18700	01.1953	34,2
Oslo - Blindern	SN18700	02.1953	26,1
Oslo - Blindern	SN18700	03.1953	6,3
Oslo - Blindern	SN18700	04.1953	88
Oslo - Blindern	SN18700	05.1953	69,3
Oslo - Blindern	SN18700	06.1953	71,2
Oslo - Blindern	SN18700	07.1953	116,6
Oslo - Blindern	SN18700	08.1953	116,9
Oslo - Blindern	SN18700	09.1953	62,6
Oslo - Blindern	SN18700	10.1953	50,7
Oslo - Blindern	SN18700	11.1953	43,7
Oslo - Blindern	SN18700	12.1953	42,2
Oslo - Blindern	SN18700	01.1954	60,6
Oslo - Blindern	SN18700	02.1954	63,7
Oslo - Blindern	SN18700	03.1954	50
Oslo - Blindern	SN18700	04.1954	18,6
Oslo - Blindern	SN18700	05.1954	52,6
Oslo - Blindern	SN18700	06.1954	84,1
Oslo - Blindern	SN18700	07.1954	94,6
Oslo - Blindern	SN18700	08.1954	95
Oslo - Blindern	SN18700	09.1954	122,3
Oslo - Blindern	SN18700	10.1954	86
Oslo - Blindern	SN18700	11.1954	92,4
Oslo - Blindern	SN18700	12.1954	70,6
Oslo - Blindern	SN18700	01.1955	30,6
Oslo - Blindern	SN18700	02.1955	37,1
Oslo - Blindern	SN18700	03.1955	4,6
Oslo - Blindern	SN18700	04.1955	37,3
Oslo - Blindern	SN18700	05.1955	80,8
Oslo - Blindern	SN18700	06.1955	41
Oslo - Blindern	SN18700	07.1955	16,3
Oslo - Blindern	SN18700	08.1955	30,7
Oslo - Blindern	SN18700	09.1955	92,4
Oslo - Blindern	SN18700	10.1955	51,1
Oslo - Blindern	SN18700	11.1955	59,6
Oslo - Blindern	SN18700	12.1955	54,8
Oslo - Blindern	SN18700	01.1956	52,9
Oslo - Blindern	SN18700	02.1956	6,8
Oslo - Blindern	SN18700	03.1956	19,1
Oslo - Blindern	SN18700	04.1956	24,9
Oslo - Blindern	SN18700	05.1956	11,9
Oslo - Blindern	SN18700	06.1956	103,7
Oslo - Blindern	SN18700	07.1956	57,1
Oslo - Blindern	SN18700	08.1956	87,1
Oslo - Blindern	SN18700	09.1956	88
Oslo - Blindern	SN18700	10.1956	16,5
Oslo - Blindern	SN18700	11.1956	33,7
Oslo - Blindern	SN18700	12.1956	28,2
Oslo - Blindern	SN18700	01.1957	45
Oslo - Blindern	SN18700	02.1957	60,4
Oslo - Blindern	SN18700	03.1957	25
Oslo - Blindern	SN18700	04.1957	32,4
Oslo - Blindern	SN18700	05.1957	48
Oslo - Blindern	SN18700	06.1957	81,2
Oslo - Blindern	SN18700	07.1957	102,5
Oslo - Blindern	SN18700	08.1957	145
Oslo - Blindern	SN18700	09.1957	99,5
Oslo - Blindern	SN18700	10.1957	75
Oslo - Blindern	SN18700	11.1957	50
Oslo - Blindern	SN18700	12.1957	3,4
Oslo - Blindern	SN18700	01.1958	38,5
Oslo - Blindern	SN18700	02.1958	36,8
Oslo - Blindern	SN18700	03.1958	5,4
Oslo - Blindern	SN18700	04.1958	38,1
Oslo - Blindern	SN18700	05.1958	70,3
Oslo - Blindern	SN18700	06.1958	73,9
Oslo - Blindern	SN18700	07.1958	93,2
Oslo - Blindern	SN18700	08.1958	104,2
Oslo - Blindern	SN18700	09.1958	40,9
Oslo - Blindern	SN18700	10.1958	108,8
Oslo - Blindern	SN18700	11.1958	42,8
Oslo - Blindern	SN18700	12.1958	56,2
Oslo - Blindern	SN18700	01.1959	60,4
Oslo - Blindern	SN18700	02.1959	1,6
Oslo - Blindern	SN18700	03.1959	57,7
Oslo - Blindern	SN18700	04.1959	104,6
Oslo - Blindern	SN18700	05.1959	27,7
Oslo - Blindern	SN18700	06.1959	12,9
Oslo - Blindern	SN18700	07.1959	65,9
Oslo - Blindern	SN18700	08.1959	44,2
Oslo - Blindern	SN18700	09.1959	14,6
Oslo - Blindern	SN18700	10.1959	130,8
Oslo - Blindern	SN18700	11.1959	132,8
Oslo - Blindern	SN18700	12.1959	143,7
Oslo - Blindern	SN18700	01.1960	71,7
Oslo - Blindern	SN18700	02.1960	27,6
Oslo - Blindern	SN18700	03.1960	29,7
Oslo - Blindern	SN18700	04.1960	21,7
Oslo - Blindern	SN18700	05.1960	18,6
Oslo - Blindern	SN18700	06.1960	106,7
Oslo - Blindern	SN18700	07.1960	181,1
Oslo - Blindern	SN18700	08.1960	143,6
Oslo - Blindern	SN18700	09.1960	44,4
Oslo - Blindern	SN18700	10.1960	78
Oslo - Blindern	SN18700	11.1960	131,3
Oslo - Blindern	SN18700	12.1960	64,8
Oslo - Blindern	SN18700	01.1961	50,6
Oslo - Blindern	SN18700	02.1961	41
Oslo - Blindern	SN18700	03.1961	34
Oslo - Blindern	SN18700	04.1961	17,8
Oslo - Blindern	SN18700	05.1961	39,8
