PathwaySortOrder	Biochemical	SuperPathway	SubPathway	Comp.ID	Platform	Chemical.ID	RI	MASS	PUBCHEM	CAS	KEGG	HMDB
5105	N-ethylglycinexylidide	Xenobiotics	Drug - Analgesics, Anesthetics	33080	LC/MS Pos Early	100001539	3209	207,1492	24415	7728-40-7	C16561	HMDB60656
256	N-formylanthranilic acid	Amino Acid	Tryptophan Metabolism	43549	LC/MS Neg	100004561	2150	164,0353	101399	3342-77-6	C05653	HMDB04089
390	N-formylmethionine	Amino Acid	Methionine, Cysteine, SAM and Taurine Metabolism	2829	LC/MS Neg	194	1543,8	176,0387	439750	4289-98-9	C03145	HMDB01015
217	N-formylphenylalanine	Amino Acid	Tyrosine Metabolism	48433	LC/MS Neg	100006056	2360	192,0666	759256	13200-85-6		
460	N-methylhydroxyproline	Amino Acid	"Urea cycle; Arginine and Proline Metabolism"	62068	LC/MS Pos Early	100020215	1145	146,0812	9860390			
5024	N-methylpipecolate	Xenobiotics	Bacterial/Fungal	47101	LC/MS Pos Early	100005383	1932	144,1019	11286529	41447-17-0		
466	N-methylproline	Amino Acid	"Urea cycle; Arginine and Proline Metabolism"	37431	LC/MS Pos Early	100001956	1335	130,0863	557	475-11-6		
2058	N-oleoylserine	Lipid	Endocannabinoid	57664	LC/MS Neg	100015641	5600	368,2806				
2034	N-oleoyltaurine	Lipid	Endocannabinoid	39732	LC/MS Neg	100003119	5610	388,2527	6437033	52514-04-2		
4707	N-oxalyl glycine (NOG)	Xenobiotics	Food Component/Plant	57776	LC/MS Polar	100015923	3292	146,0095	3080614			
2880	N-palmitoyl-heptadecasphingosine (d17:1/16:0)*	Lipid	Ceramides	57430	LC/MS Pos Late	100015731	2645	524,5037				
2868	N-palmitoyl-sphingadienine (d18:2/16:0)*	Lipid	Ceramides	57416	LC/MS Pos Late	100015609	2490	536,5037				
2850	N-palmitoyl-sphinganine (d18:0/16:0)	Lipid	Dihydroceramides	52604	LC/MS Pos Late	100009028	3090	540,535	5283572	5966-29-0		HMDB11760
2858	N-palmitoyl-sphingosine (d18:1/16:0)	Lipid	Ceramides	44877	LC/MS Pos Late	1518	2893	538,5194	5283564	24696-26-2		HMDB04949
1714	N-palmitoylglycine	Lipid	Fatty Acid Metabolism (Acyl Glycine)	42092	LC/MS Neg	100003686	5580	312,2544	151008	2441-41-0		HMDB13034
2060	N-palmitoylserine	Lipid	Endocannabinoid	57659	LC/MS Neg	100015640	5557	342,265	6453686	"58725-46-5;474943-14-1"		
2869	N-stearoyl-sphingadienine (d18:2/18:0)*	Lipid	Ceramides	57417	LC/MS Pos Late	100015632	2846	564,535				
2851	N-stearoyl-sphinganine (d18:0/18:0)*	Lipid	Dihydroceramides	1759	LC/MS Pos Late	922	3526	568,5663	5283573	2304-80-5		
2862	N-stearoyl-sphingosine (d18:1/18:0)*	Lipid	Ceramides	54979	LC/MS Pos Late	1547	3392	566,5507	5283565	104404-17-3		HMDB04950
2059	N-stearoylserine*	Lipid	Endocannabinoid	61822	LC/MS Neg	100019957	5777	370,2963				
2035	N-stearoyltaurine	Lipid	Endocannabinoid	39730	LC/MS Neg	100003240	5782	390,2684	168274	63155-80-6		
4124	N1-Methyl-2-pyridone-5-carboxamide	Cofactors and Vitamins	Nicotinate and Nicotinamide Metabolism	40469	LC/MS Neg	100001468	1668	151,0513	69698	701-44-0	C05842	HMDB04193
4125	N1-Methyl-4-pyridone-3-carboxamide	Cofactors and Vitamins	Nicotinate and Nicotinamide Metabolism	57584	LC/MS Pos Early	100001469	1260	153,0659	440810	769-49-3	C05843	HMDB04194
3961	1-methyladenosine	Nucleotide	Purine Metabolism, Adenine containing	15650	LC/MS Pos Early	1242	2120	282,1197	27476	15763-06-1	C02494	HMDB03331
3936	N1-methylinosine	Nucleotide	Purine Metabolism, (Hypo)Xanthine/Inosine containing	48351	LC/MS Pos Early	100001409	1430	283,1037	65095	20245-33-4		HMDB02721
4000	N2,N2-dimethylguanosine	Nucleotide	Purine Metabolism, Guanine containing	35137	LC/MS Pos Early	100001412	2210	312,1303	92919	2140-67-2		HMDB04824
458	N2,N5-diacetylornithine	Amino Acid	"Urea cycle; Arginine and Proline Metabolism"	43591	LC/MS Neg	100004575	1367	215,1037	65977	39825-23-5		
104	N2-acetyl,N6,N6-dimethyllysine	Amino Acid	Lysine Metabolism	63254	LC/MS Pos Early	100020545	2172	217,1547				
103	N2-acetyl,N6-methyllysine	Amino Acid	Lysine Metabolism	62954	LC/MS Pos Early	100020546	2168	203,139				
5165	N4-acetyl-5-hydroxysulfamethoxazole*	Xenobiotics	Drug - Antibiotic	62107	LC/MS Neg	100020244	1745	310,0503				
4061	N4-acetylcytidine	Nucleotide	Pyrimidine Metabolism, Cytidine containing	35130	LC/MS Pos Early	100001413	1580	286,1034	107461	3768-18-1		HMDB05923
5164	N4-acetylsulfamethoxazole*	Xenobiotics	Drug - Antibiotic	62106	LC/MS Pos Early	100020243	2622	296,07	65280		C13061,D01601	HMDB13854
110	N6,N6,N6-trimethyllysine	Amino Acid	Lysine Metabolism	1498	LC/MS Pos Early	189	2825	189,1598	440120	23284-33-5	C03793	HMDB01325
