PathwaySortOrder	Biochemical	SuperPathway	SubPathway	Comp.ID	Platform	Chemical.ID	RI	MASS	PUBCHEM	CAS	KEGG	HMDB
463	prolylhydroxyproline	Amino Acid	"Urea cycle; Arginine and Proline Metabolism"	35127	LC/MS Pos Early	100001167	2128	229,1183	11673055	18684-24-7		HMDB06695
444	proline	Amino Acid	"Urea cycle; Arginine and Proline Metabolism"	1898	LC/MS Pos Early	480	1603	116,0706	145742	147-85-3	C00148	HMDB00162
884	prolylglycine	Peptide	Dipeptide	40703	LC/MS Pos Early	100003674	2136	173,0921	6426709	2578-57-6		HMDB11178
1667	propionylcarnitine (C3)	Lipid	Fatty Acid Metabolism (also BCAA Metabolism)	32452	LC/MS Pos Early	100001162	2590	218,1387	107738	17298-37-2	C03017	HMDB00824
1668	propionylglycine (C3)	Lipid	Fatty Acid Metabolism (also BCAA Metabolism)	31932	LC/MS Neg	100001150	960	130,051	98681	21709-90-0		HMDB00783
4329	propyl 4-hydroxybenzoate sulfate	Xenobiotics	Benzoate Metabolism	48460	LC/MS Neg	100006264	3971	259,0282		162338-10-5		
4028	pseudouridine	Nucleotide	Pyrimidine Metabolism, Uracil containing	33442	LC/MS Neg	821	1100	243,0623	15047	1445-07-4	C02067	HMDB00767
4247	pyridoxate	Cofactors and Vitamins	Vitamin B6 Metabolism	31555	LC/MS Neg	100001121	2185	182,0459	6723	82-82-6	C00847	HMDB00017
52	pyroglutamine*	Amino Acid	Glutamate Metabolism	46225	LC/MS Pos Early	100001540	1900	129,0659	134508	2353-44-8		
4854	pyrraline	Xenobiotics	Food Component/Plant	48428	LC/MS Pos Early	100001767	2750	255,1339	122228	74509-14-1		HMDB33143
1150	pyruvate	Carbohydrate	Glycolysis, Gluconeogenesis, and Pyruvate Metabolism	48990	LC/MS Polar	823	1083	87,0088	1060	127-17-3	C00022	HMDB00243
4645	quinate	Xenobiotics	Food Component/Plant	18335	LC/MS Polar	100000442	2432,9	191,0561	6508	77-95-2	C00296	HMDB03072
4101	quinolinate	Cofactors and Vitamins	Nicotinate and Nicotinamide Metabolism	1899	LC/MS Pos Early	182	845	168,0291	1066	89-00-9	C03722	HMDB00232
4225	retinol (Vitamin A)	Cofactors and Vitamins	Vitamin A Metabolism	1806	LC/MS Pos Late	498	1636	269,2264	445354	68-26-8	C00473	HMDB00305
1173	ribitol	Carbohydrate	Pentose Metabolism	15772	LC/MS Polar	100000406	1789,6	151,0612	6912	488-81-3	C00474	HMDB00508
1174	ribonate	Carbohydrate	Pentose Metabolism	27731	LC/MS Polar	100001007	2425	165,0405	5460677	03.08.5336	C01685	HMDB00867
1198	ribulonate/xylulonate/lyxonate*	Carbohydrate	Pentose Metabolism	61858	LC/MS Polar	100019968	2350	165,0405				
60	S-1-pyrroline-5-carboxylate	Amino Acid	Glutamate Metabolism	42370	LC/MS Pos Early	35	1528	114,055	1196	2906-39-0	C04322	HMDB01301
399	S-adenosylhomocysteine (SAH)	Amino Acid	Methionine, Cysteine, SAM and Taurine Metabolism	42382	LC/MS Neg	197	1832,4	383,1143	439155	979-92-0	C00021	HMDB00939
4782	S-allylcysteine	Xenobiotics	Food Component/Plant	43239	LC/MS Pos Early	100004509	2690	162,0583	98280	21593-77-1		HMDB34323
413	S-carboxyethylcysteine	Amino Acid	Methionine, Cysteine, SAM and Taurine Metabolism	64177	LC/MS Pos Early	100021530	1785	194,0482		4033-46-9		
410	S-methylcysteine	Amino Acid	Methionine, Cysteine, SAM and Taurine Metabolism	39592	LC/MS Neg	100002749	880	134,0281	24417	1187-84-4		HMDB02108
411	S-methylcysteine sulfoxide	Amino Acid	Methionine, Cysteine, SAM and Taurine Metabolism	43378	LC/MS Pos Early	100002927	900	152,0376	82142	6853-87-8		HMDB29432
391	S-methylmethionine	Amino Acid	Methionine, Cysteine, SAM and Taurine Metabolism	38127	LC/MS Pos Early	100002183	2555	164,074	458	07.12.3493	C05319	HMDB38670
4779	saccharin	Xenobiotics	Food Component/Plant	21151	LC/MS Neg	100000870	2000	181,9917	5143	81-07-2	D01085	HMDB29723
5540	salicylate	Xenobiotics	Drug - Topical Agents	1515	LC/MS Polar	501	802	137,0242	338	69-72-7	C00805	HMDB01895
5087	salicyluric glucuronide*	Xenobiotics	Drug - Analgesics, Anesthetics	33384	LC/MS Neg	100001332	1463	370,078				
4	sarcosine	Amino Acid	Glycine, Serine and Threonine Metabolism	1516	LC/MS Pos Early	1023	1280	90,055	1088	107-97-1	C00213	HMDB00271
1577	sebacate (C10-DC)	Lipid	Fatty Acid, Dicarboxylate	32398	LC/MS Polar	100001211	2147	201,1132	5192	111-20-6	C08277	HMDB00792
1197	sedoheptulose	Carbohydrate	Pentose Metabolism	53237	LC/MS Polar	100002619	2255	209,0667	5459879	3019-74-7		HMDB03219
9	serine	Amino Acid	Glycine, Serine and Threonine Metabolism	1648	LC/MS Pos Early	503	1239	106,0499	5951	56-45-1	C00065	HMDB00187
5548	solifenacin	Xenobiotics	Drug - Other	53001	LC/MS Pos Late	100008973	1042	363,2067	9885319	180468-39-7		
492	spermidine	Amino Acid	Polyamine Metabolism	485	LC/MS Pos Early	50	3355	146,1652	1102	124-20-9	C00315	HMDB01257
2846	sphingadienine	Lipid	Sphingolipid Synthesis	57426	LC/MS Pos Late	100015643	1350	298,2741	6449795	25696-03-1		
2844	sphinganine	Lipid	Sphingolipid Synthesis	17769	LC/MS Pos Late	313	1413	302,3054	3126	3102-56-5	C00836	HMDB00269
2845	sphinganine-1-phosphate	Lipid	Sphingolipid Synthesis	52605	LC/MS Pos Late	100001876	1431	382,2717	520	19794-97-9		HMDB01383
2948	sphingomyelin (d17:1/14:0, d16:1/15:0)*	Lipid	Sphingomyelins	62152	LC/MS Pos Late	100020276	1950	661,5279				
2951	sphingomyelin (d17:1/16:0, d18:1/15:0, d16:1/17:0)*	Lipid	Sphingomyelins	52433	LC/MS Pos Late	100006314	2082	689,5592		121999-58-4		
2952	sphingomyelin (d17:2/16:0, d18:2/15:0)*	Lipid	Sphingomyelins	57483	LC/MS Pos Late	100015793	1837	687,5436				
2937	sphingomyelin (d18:0/18:0, d19:0/17:0)*	Lipid	Dihydrosphingomyelins	57473	LC/MS Pos Late	100009027	2362	733,6218				HMDB12087
2938	sphingomyelin (d18:0/20:0, d16:0/22:0)*	Lipid	Dihydrosphingomyelins	57476	LC/MS Pos Late	100015786	2600	761,6531				
2949	sphingomyelin (d18:1/14:0, d16:1/16:0)*	Lipid	Sphingomyelins	42463	LC/MS Pos Late	100004328	1998	675,5436	11433862			HMDB12097
2954	sphingomyelin (d18:1/17:0, d17:1/18:0, d19:1/16:0)	Lipid	Sphingomyelins	52615	LC/MS Pos Late	100008920	2312	717,5905		121999-64-2		
2955	sphingomyelin (d18:1/18:1, d18:2/18:0)	Lipid	Sphingomyelins	37529	LC/MS Pos Late	100002106	2167	729,5905	6443882	108392-10-5		HMDB12101
2956	sphingomyelin (d18:1/19:0, d19:1/18:0)*	Lipid	Sphingomyelins	57475	LC/MS Pos Late	100015787	2330	745,6218				
2957	sphingomyelin (d18:1/20:0, d16:1/22:0)*	Lipid	Sphingomyelins	48490	LC/MS Pos Late	100006290	2685	759,6375				HMDB12102
2958	sphingomyelin (d18:1/20:1, d18:2/20:0)*	Lipid	Sphingomyelins	48491	LC/MS Pos Late	100006292	2383	757,6218		222403-67-0		
2959	sphingomyelin (d18:1/20:2, d18:2/20:1, d16:1/22:2)*	Lipid	Sphingomyelins	57481	LC/MS Pos Late	100006293	2039	755,6062				
2960	sphingomyelin (d18:1/21:0, d17:1/22:0, d16:1/23:0)*	Lipid	Sphingomyelins	52495	LC/MS Pos Late	100009025	2793	773,6531				
2962	sphingomyelin (d18:1/22:1, d18:2/22:0, d16:1/24:1)*	Lipid	Sphingomyelins	48493	LC/MS Pos Late	100006295	2666	785,6531				HMDB12104
2963	sphingomyelin (d18:1/22:2, d18:2/22:1, d16:1/24:2)*	Lipid	Sphingomyelins	57477	LC/MS Pos Late	100006296	2209	783,6375				
2965	sphingomyelin (d18:1/24:1, d18:2/24:0)*	Lipid	Sphingomyelins	47153	LC/MS Pos Late	100005986	3033	813,6844		94359-13-4		HMDB12107
2967	sphingomyelin (d18:1/25:0, d19:0/24:1, d20:1/23:0, d19:1/24:0)*	Lipid	Sphingomyelins	57478	LC/MS Pos Late	100015792	3500	829,7157				
2950	sphingomyelin (d18:2/14:0, d18:1/14:1)*	Lipid	Sphingomyelins	47154	LC/MS Pos Late	100005985	1860	673,5279				
2953	sphingomyelin (d18:2/16:0, d18:1/16:1)*	Lipid	Sphingomyelins	42459	LC/MS Pos Late	100004329	2002	701,5592				
2945	sphingomyelin (d18:2/18:1)*	Lipid	Sphingomyelins	57474	LC/MS Pos Late	100015788	1904	727,5749				
2961	sphingomyelin (d18:2/21:0, d16:2/23:0)*	Lipid	Sphingomyelins	57480	LC/MS Pos Late	100015790	2330	771,6375				
2964	sphingomyelin (d18:2/23:0, d18:1/23:1, d17:1/24:1)*	Lipid	Sphingomyelins	52435	LC/MS Pos Late	100008956	2845	799,6687				
2946	sphingomyelin (d18:2/23:1)*	Lipid	Sphingomyelins	57482	LC/MS Pos Late	100015791	2315	797,6531				
2966	sphingomyelin (d18:2/24:1, d18:1/24:2)*	Lipid	Sphingomyelins	52437	LC/MS Pos Late	100008957	2635	811,6687				
2947	sphingomyelin (d18:2/24:2)*	Lipid	Sphingomyelins	57479	LC/MS Pos Late	100015789	2215	809,6531				
2995	sphingosine	Lipid	Sphingosines	17747	LC/MS Pos Late	297	1393	300,2897	5353955	123-78-4	C00319	HMDB00252
2997	sphingosine 1-phosphate	Lipid	Sphingosines	34445	LC/MS Pos Late	100000626	1375	380,256	5283560	26993-30-6	C06124	HMDB00277
4801	stachydrine	Xenobiotics	Food Component/Plant	34384	LC/MS Pos Early	100001296	1440	144,1019	115244	4136-37-2	C10172	HMDB04827
1413	stearate (18:0)	Lipid	Long Chain Saturated Fatty Acid	1358	LC/MS Neg	439	5872	283,2643	5281	57-11-4	C01530	HMDB00827
1455	stearidonate (18:4n3)	Lipid	Long Chain Polyunsaturated Fatty Acid (n3 and n6)	33969	LC/MS Neg	100001229	5395	275,2017	5312508	111174-40-4	C16300	HMDB06547
2025	stearoyl ethanolamide	Lipid	Endocannabinoid	38625	LC/MS Pos Late	100002254	1787	328,321	27902	111-57-9		HMDB13078
2941	stearoyl sphingomyelin (d18:1/18:0)	Lipid	Sphingomyelins	19503	LC/MS Pos Late	1538	2400	731,6062	6453725	"85187-10-6;85187-10-6"	C00550	HMDB01348
1753	stearoylcarnitine (C18)	Lipid	Fatty Acid Metabolism (Acyl Carnitine, Long Chain Saturated)	34409	LC/MS Pos Late	100001391	1485	428,3734	6426855	18822-91-8		HMDB00848
1828	stearoylcholine*	Lipid	Fatty Acid Metabolism (Acyl Choline)	57464	LC/MS Pos Late	100015759	1520	370,368				
1572	suberate (C8-DC)	Lipid	Fatty Acid, Dicarboxylate	15730	LC/MS Polar	100000016	2577,6	173,0819	10457	505-48-6	C08278	HMDB00893
1794	suberoylcarnitine (C8-DC)	Lipid	Fatty Acid Metabolism (Acyl Carnitine, Dicarboxylate)	52990	LC/MS Pos Early	100006627	2964	318,1911				
1353	succinate	Energy	TCA Cycle	1437	LC/MS Polar	252	3149	117,0193	1110	110-15-6	C00042	HMDB00254
427	succinoyltaurine	Amino Acid	Methionine, Cysteine, SAM and Taurine Metabolism	63678	LC/MS Polar	100021220	2572	224,0234				
1352	succinylcarnitine (C4-DC)	Energy	TCA Cycle	37058	LC/MS Pos Early	100001948	2291	262,1285	71464481	256928-74-2		HMDB61717
1233	sucrose	Carbohydrate	Disaccharides and Oligosaccharides	1519	LC/MS Polar	935	3092	387,1144	5988	57-50-1	C00089	HMDB00258
5163	sulfamethoxazole	Xenobiotics	Drug - Antibiotic	53240	LC/MS Neg	100009327	1941	252,0448	5329		D00285,C07315,D00447	HMDB15150
4755	sulfate of piperine metabolite C16H19NO3 (2)*	Xenobiotics	Food Component/Plant	62295	LC/MS Neg	100020496	4112	352,086				
4756	sulfate of piperine metabolite C16H19NO3 (3)*	Xenobiotics	Food Component/Plant	62296	LC/MS Neg	100020497	4200	352,086				
4761	sulfate of piperine metabolite C18H21NO3 (1)*	Xenobiotics	Food Component/Plant	62297	LC/MS Neg	100020502	4481	378,1017				
4763	sulfate of piperine metabolite C18H21NO3 (3)*	Xenobiotics	Food Component/Plant	62299	LC/MS Neg	100020504	4630	378,1017				
5624	sulfate*	Xenobiotics	Chemical	46960	LC/MS Neg	100002528	616	96,9601	1118	14808-79-8	C00059	HMDB01448
5158	sulfociprofloxacin*	Xenobiotics	Drug - Antibiotic	62474	LC/MS Neg	100020787	2340	410,0828	128781			
4810	tartarate	Xenobiotics	Food Component/Plant	15336	LC/MS Neg	100000295	615,3	149,0092	444305	"87-69-4;6106-24-7"	C00898	HMDB00956
4938	tartronate (hydroxymalonate)	Xenobiotics	Food Component/Plant	20693	LC/MS Neg	100000840	610	118,9986	45	80-69-3	C02287	HMDB35227
424	taurine	Amino Acid	Methionine, Cysteine, SAM and Taurine Metabolism	2125	LC/MS Pos Early	512	660	126,022	1123	107-35-7	C00245	HMDB00251
3280	tauro-beta-muricholate	Lipid	Primary Bile Acid Metabolism	33983	LC/MS Neg	100001250	4774	514,2844	168408	25696-60-0		HMDB00932
3276	taurochenodeoxycholate	Lipid	Primary Bile Acid Metabolism	18494	LC/MS Neg	1629	5250	498,2895	387316	6009-98-9	C05465	HMDB00951
3352	taurochenodeoxycholic acid 3-sulfate	Lipid	Secondary Bile Acid Metabolism	62890	LC/MS Neg	100021093	4809	288,6195				HMDB02486
3269	taurocholate	Lipid	Primary Bile Acid Metabolism	18497	LC/MS Neg	1648	5150	514,2844	6675	145-42-6	C05122	HMDB00036
3347	taurocholenate sulfate*	Lipid	Secondary Bile Acid Metabolism	32807	LC/MS Neg	100001990	4750	279,6142				
3302	taurodeoxycholic acid 3-sulfate	Lipid	Secondary Bile Acid Metabolism	62889	LC/MS Neg	100006644	4850	288,6195				
3338	taurohyocholate*	Lipid	Secondary Bile Acid Metabolism	42603	LC/MS Neg	100004084	5000	514,2844				
3313	taurolithocholate 3-sulfate	Lipid	Secondary Bile Acid Metabolism	36850	LC/MS Neg	100001658	5027	280,6221	440071	64936-83-0	C03642	HMDB02580
3329	tauroursodeoxycholate	Lipid	Secondary Bile Acid Metabolism	39378	LC/MS Neg	100002912	5025	498,2895	9848818	14605-22-2		HMDB00874
3330	tauroursodeoxycholic acid sulfate (1)	Lipid	Secondary Bile Acid Metabolism	62784	LC/MS Neg	100020844	4325	288,6195				
3192	testosterone sulfate	Lipid	Androgenic Steroids	35668	LC/MS Neg	100001548	4600	367,1585	119207	651-45-6		HMDB02833
5169	Tetracycline	Xenobiotics	Drug - Antibiotic	21272	LC/MS Neg	100000690	3805	443,146	54675776	60-54-8	C06570	HMDB14897
1590	tetradecadienedioate (C14:2-DC)*	Lipid	Fatty Acid, Dicarboxylate	62918	LC/MS Neg	100021100	3148	253,1445				
1448	tetradecadienoate (14:2)*	Lipid	Long Chain Polyunsaturated Fatty Acid (n3 and n6)	62850	LC/MS Neg	100020343	5292	223,1704	5312409	39039-37-7		HMDB00560
1587	tetradecanedioate (C14)	Lipid	Fatty Acid, Dicarboxylate	35669	LC/MS Neg	100001613	3985	257,1758	13185	821-38-5		HMDB00872
3154	tetrahydrocortisol sulfate (1)	Lipid	Corticosteroids	62793	LC/MS Neg	100020848	4276	445,1902				
5503	THC carboxylic acid	Xenobiotics	Drug - Psychoactive	61836	LC/MS Neg	100016048	5263	343,1915	107885			
5504	THC carboxylic acid glucuronide	Xenobiotics	Drug - Psychoactive	61848	LC/MS Neg	100016049	5224	519,2236				
4811	theanine	Xenobiotics	Food Component/Plant	22206	LC/MS Pos Early	100000784	2180	175,1077	439378	3081-61-6	C01047	HMDB34365
4369	theobromine	Xenobiotics	Xanthine Metabolism	18392	LC/MS Pos Early	100000445	1600	181,072	5429	83-67-0	C07480	HMDB02825
4370	theophylline	Xenobiotics	Xanthine Metabolism	18394	LC/MS Pos Early	100000437	1870	181,072	2153	58-55-9	C07130	HMDB01889
5767	thioproline	Xenobiotics	Chemical	53231	LC/MS Pos Early	100009232	1250	134,027	93176	34592-47-4		
4150	threonate	Cofactors and Vitamins	Ascorbate and Aldarate Metabolism	27738	LC/MS Polar	100001022	2384	135,0299	151152	70753-61-6	C01620	HMDB00943
16	threonine	Amino Acid	Glycine, Serine and Threonine Metabolism	1284	LC/MS Pos Early	564	1514	120,0655	6288	72-19-5	C00188	HMDB00167
4814	thymol sulfate	Xenobiotics	Food Component/Plant	36095	LC/MS Neg	100001757	4410	229,054		89-83-8	C09908	HMDB01878
232	thyroxine	Amino Acid	Tyrosine Metabolism	2761	LC/MS Neg	1094	4808	775,6794	5819	51-48-9	C01829	HMDB01918
358	tiglyl carnitine (C5)	Amino Acid	Leucine, Isoleucine and Valine Metabolism	35428	LC/MS Pos Early	100001597	2962	244,1543	22833596	64191-86-2		HMDB02366
5117	tramadol	Xenobiotics	Drug - Analgesics, Anesthetics	53241	LC/MS Pos Early	100006381	3288	264,1958	33741	27203-92-5	C07153	HMDB14339
1703	trans-2-hexenoylglycine	Lipid	Fatty Acid Metabolism (Acyl Glycine)	61798	LC/MS Neg	100019884	2707	170,0823				
4885	trans-3,4-methyleneheptanoate	Xenobiotics	Food Component/Plant	53026	LC/MS Neg	100006651	3807	141,0921				
1761	trans-3,4-methyleneheptanoylcarnitine	Lipid	Fatty Acid Metabolism (Acyl Carnitine, Monounsaturated)	52929	LC/MS Neg	100009234	4096	346,1871				
461	hydroxyproline	Amino Acid	"Urea cycle; Arginine and Proline Metabolism"	32306	LC/MS Pos Early	1001	1064	132,0655	5810	51-35-4	C01157	HMDB00725
74	trans-urocanate	Amino Acid	Histidine Metabolism	607	LC/MS Polar	537	1882,5	137,0357	736715	104-98-3	C00785	HMDB00301
2943	tricosanoyl sphingomyelin (d18:1/23:0)*	Lipid	Sphingomyelins	52436	LC/MS Pos Late	100008955	3200	801,6844				HMDB12105
1586	tridecenedioate (C13:1-DC)*	Lipid	Fatty Acid, Dicarboxylate	62919	LC/MS Neg	100002199	3051	241,1445				
4122	trigonelline (N'-methylnicotinate)	Cofactors and Vitamins	Nicotinate and Nicotinamide Metabolism	32401	LC/MS Pos Early	100001092	1388	138,055	5570	535-83-1	C01004	HMDB00875
5200	trimethoprim	Xenobiotics	Drug - Antibiotic	64075	LC/MS Neg	100020868	3637	289,1306	5578	738-70-5	C01965,D00145	HMDB14583
2103	trimethylamine N-oxide	Lipid	Phospholipid Metabolism	40406	LC/MS Pos Early	100003397	2100	76,0757	1145	1184-78-7	C01104	HMDB00925
5737	trizma acetate	Xenobiotics	Chemical	20710	LC/MS Pos Early	100000856	1884	122,0812	6503	6850-28-8	C07182	
238	tryptophan	Amino Acid	Tryptophan Metabolism	54	LC/MS Pos Early	565	2986	205,0972	6305	73-22-3	C00078	HMDB00929
247	tryptophan betaine	Amino Acid	Tryptophan Metabolism	37097	LC/MS Pos Early	100001743	2673	247,1441	442106	20671-76-5	C09213	HMDB61115
216	tyramine O-sulfate	Amino Acid	Tyrosine Metabolism	48408	LC/MS Neg	100006092	1565	216,0336	153005	30223-92-8		HMDB06409
155	tyrosine	Amino Acid	Tyrosine Metabolism	1299	LC/MS Neg	815	1322	180,0666	6057	60-18-4	C00082	HMDB00158
4856	umbelliferone sulfate	Xenobiotics	Food Component/Plant	48674	LC/MS Neg	100006282	2440	240,9812	129659	69526-88-1		
1579	undecanedioate (C11-DC)	Lipid	Fatty Acid, Dicarboxylate	42395	LC/MS Neg	100001617	2440	215,1289	15816	1852-04-6		HMDB00888
1765	undecenoylcarnitine (C11:1)	Lipid	Fatty Acid Metabolism (Acyl Carnitine, Monounsaturated)	63613	LC/MS Pos Late	100021131	1069	328,2482				
4027	uracil	Nucleotide	Pyrimidine Metabolism, Uracil containing	605	LC/MS Polar	825	1089,7	111,02	1174	66-22-8	C00106	HMDB00300
3939	urate	Nucleotide	Purine Metabolism, (Hypo)Xanthine/Inosine containing	1604	LC/MS Neg	1134	757,1	167,0211	1175	"69-93-2;120K5305"	C00366	HMDB00289
434	urea	Amino Acid	"Urea cycle; Arginine and Proline Metabolism"	1670	LC/MS Pos Early	533	700	121,072	1176	57-13-6	C00086	HMDB00294
4026	uridine	Nucleotide	Pyrimidine Metabolism, Uracil containing	606	LC/MS Neg	535	1457,6	243,0623	6029	58-96-8	C00299	HMDB00296
3315	ursodeoxycholate	Lipid	Secondary Bile Acid Metabolism	1605	LC/MS Neg	1135	5055	391,2854	31401	128-13-2	C07880	HMDB00946
370	valine	Amino Acid	Leucine, Isoleucine and Valine Metabolism	1649	LC/MS Pos Early	566	2479	118,0863	6287	72-18-4	C00183	HMDB00883
972	valylleucine	Peptide	Dipeptide	39994	LC/MS Pos Early	100003210	3138	231,1703	352039	22906-55-4		HMDB29131
191	vanillactate	Amino Acid	Tyrosine Metabolism	54910	LC/MS Neg	100006129	1625	211,0612	160637	2475-56-1		HMDB00913
4949	vanillic acid glycine	Xenobiotics	Food Component/Plant	63853	LC/MS Neg	100021363	1682	224,0564	3083688			HMDB60026
218	vanillic alcohol sulfate	Amino Acid	Tyrosine Metabolism	48733	LC/MS Neg	100006125	1808	233,0125		754920-02-0		
192	vanillylmandelate (VMA)	Amino Acid	Tyrosine Metabolism	1567	LC/MS Neg	1111	941	197,0456	1245	55-10-7	C05584	HMDB00291
5469	venlafaxine	Xenobiotics	Drug - Psychoactive	38623	LC/MS Pos Late	100002807	848	278,2115	5656	93413-69-5	C07187	HMDB05016
5301	warfarin	Xenobiotics	Drug - Cardiovascular	43335	LC/MS Neg	100004175	3790	307,0976		5543-57-7	C01541	HMDB01935
3931	xanthine	Nucleotide	Purine Metabolism, (Hypo)Xanthine/Inosine containing	3147	LC/MS Polar	1004	2023	151,0262	1188	69-89-6	C00385	HMDB00292
3933	xanthosine	Nucleotide	Purine Metabolism, (Hypo)Xanthine/Inosine containing	15136	LC/MS Neg	100000299	1075	283,0684	64959	146-80-5	C01762	HMDB00299
260	xanthurenate	Amino Acid	Tryptophan Metabolism	15679	LC/MS Pos Early	100000015	2236	206,0448	5699	59-007	C02470	HMDB00881
1774	ximenoylcarnitine (C26:1)*	Lipid	Fatty Acid Metabolism (Acyl Carnitine, Monounsaturated)	57517	LC/MS Pos Late	100015836	1607	538,483				
1178	xylose	Carbohydrate	Pentose Metabolism	15581	LC/MS Polar	826	1727	195,051	135191	609-06-3	C00181	HMDB00098
5498	zolpidem	Xenobiotics	Drug - Psychoactive	62976	LC/MS Pos Late	100004174	787	308,1757		82626-48-0		
	X - 07765			46590	LC/MS Neg							
	X - 10458			47478	LC/MS Neg							
	X - 11299			46592	LC/MS Neg							
	X - 11308			46390	LC/MS Neg							
	X - 11315			49592	LC/MS Neg							
	X - 11372			46594	LC/MS Neg							
	X - 11381			46347	LC/MS Neg							
	X - 11407			46596	LC/MS Neg							
	bilirubin degradation product, C17H20N2O5 (1)**	Partially Characterized Molecules	Partially Characterized Molecules	46360	LC/MS Neg		3755.8					
	bilirubin degradation product, C17H20N2O5 (2)**	Partially Characterized Molecules	Partially Characterized Molecules	46443	LC/MS Neg		3890					
	X - 11444			46460	LC/MS Neg							
	X - 11470			46601	LC/MS Neg							
	X - 11478			46602	LC/MS Neg							
	X - 11483			47650	LC/MS Neg							
	bilirubin degradation product, C17H18N2O4 (2)**	Partially Characterized Molecules	Partially Characterized Molecules	46914	LC/MS Neg		4760					
	bilirubin degradation product, C17H18N2O4 (3)**	Partially Characterized Molecules	Partially Characterized Molecules	46603	LC/MS Neg		4892					
	X - 11632			47493	LC/MS Neg							
	X - 11787			33132	LC/MS Pos Early							
	X - 11795			33140	LC/MS Pos Early							
	X - 11843			46466	LC/MS Neg							
	X - 11847			46488	LC/MS Neg							
	X - 11849			46607	LC/MS Neg							
	X - 11850			46507	LC/MS Neg							
	X - 11852			46521	LC/MS Neg							
	X - 11858			47654	LC/MS Neg							
	X - 11880			46608	LC/MS Neg							
	X - 12007			46610	LC/MS Neg							
	X - 12013			46611	LC/MS Neg							
	X - 12026			47905	LC/MS Neg							
	X - 12100			47687	LC/MS Pos Early							
	X - 12101			47642	LC/MS Pos Early							
	X - 12104			52597	LC/MS Neg							
	X - 12111			52797	LC/MS Neg							
	X - 12112			47690	LC/MS Pos Early							
	X - 12117			47695	LC/MS Pos Early							
	X - 12127			47702	LC/MS Pos Early							
	X - 12193			46985	LC/MS Neg							
	X - 12216			46613	LC/MS Neg							
	X - 12283			47708	LC/MS Pos Early							
	X - 12407			46615	LC/MS Neg							
	X - 12411			46616	LC/MS Neg							
	X - 12462			46620	LC/MS Pos Early							
	X - 12544			46510	LC/MS Neg							
	X - 12680			47437	LC/MS Pos Early							
	X - 12701			46962	LC/MS Neg							
	X - 12707			47929	LC/MS Neg							
	X - 12729			46623	LC/MS Neg							
	X - 12730			47937	LC/MS Neg							
	X - 12731			47938	LC/MS Neg							
	X - 12738			47940	LC/MS Neg							
	X - 12740			46627	LC/MS Neg							
	X - 12798			46624	LC/MS Pos Early							
	X - 12812			46986	LC/MS Neg							
	X - 12816			46630	LC/MS Neg							
	X - 12822			46997	LC/MS Neg							
	X - 12839			47014	LC/MS Neg							
	X - 12844			46633	LC/MS Neg							
	X - 12847			46364	LC/MS Neg							
	X - 12849			46636	LC/MS Neg							
	X - 12906			47955	LC/MS Neg							
	X - 13007			47203	LC/MS Neg							
	X - 13431			47788	LC/MS Pos Late							
	X - 13507			47439	LC/MS Pos Early							
	X - 13553			47959	LC/MS Neg							
	X - 13658			47664	LC/MS Neg							
	X - 13684			47790	LC/MS Pos Early							
	X - 13695			47962	LC/MS Neg							
	X - 13728			46645	LC/MS Neg							
	X - 13729			47971	LC/MS Neg							
	1-methyl-5-imidazolelactate	Amino Acid	Histidine Metabolism	46646	LC/MS Neg		1017					
	X - 13844			47977	LC/MS Neg							
	X - 13866			46417	LC/MS Neg							
	X - 14056			46632	LC/MS Pos Early							
	X - 14939			46657	LC/MS Neg							
	X - 15245			46661	LC/MS Neg							
	X - 15461			46283	LC/MS Pos Early							
	X - 15486			46266	LC/MS Neg							
	tetrahydrocortisol glucuronide	Lipid	Corticosteroids	46662	LC/MS Neg		4678					
	X - 15503			46977	LC/MS Neg							
	oxindolylalanine	Amino Acid	Tryptophan Metabolism	47800	LC/MS Pos Early		2755					
	X - 15674			46665	LC/MS Neg							
	X - 15728			46666	LC/MS Neg							
	X - 16087			47988	LC/MS Neg							
	X - 16124			46461	LC/MS Neg							
	X - 16397			47802	LC/MS Pos Early							
	X - 16576			46673	LC/MS Neg							
	X - 16580			47804	LC/MS Pos Early							
	X - 16649			47992	LC/MS Neg							
	X - 16935			46681	LC/MS Neg							
	bilirubin degradation product, C16H18N2O5 (2)**	Partially Characterized Molecules	Partially Characterized Molecules	46517	LC/MS Neg		3240					
	X - 16964			46685	LC/MS Neg							
	X - 17010			47993	LC/MS Neg							
	4-vinylcatechol sulfate	Xenobiotics	Benzoate Metabolism	46490	LC/MS Neg		3079.5					
	X - 17301			47808	LC/MS Pos Early							
	X - 17325			46672	LC/MS Neg							
	X - 17328			47818	LC/MS Pos Late							
	X - 17335			47820	LC/MS Pos Late							
	tetrahydrocortisone glucuronide (5)	Lipid	Corticosteroids	47872	LC/MS Neg		4697					
	X - 17343			47995	LC/MS Neg							
	X - 17348			46989	LC/MS Neg							
	X - 17351			48001	LC/MS Neg							
	X - 17353			48003	LC/MS Neg							
	X - 17354			47009	LC/MS Neg							
	X - 17355			48007	LC/MS Neg							
	X - 17367			46994	LC/MS Neg							
	X - 17398			48051	LC/MS Neg							
	X - 17438			46705	LC/MS Neg							
